,priors,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)",sigma_log__,sigma,prior_lt_0 - slope,prior_lt_0 - intercept,prior_lt_0 - delta,"prior_fs_0 - beta(p=7,n=3)","prior_fs_1 - beta(p=365.25,n=10)",prior_sigma,"fs_1 - beta(p=365.25,n=10)"
A,"[ 0.33248692  0.38036356 -0.10303245 -0.30126681  0.22962879 -0.1462755
  0.05068439  0.31865298  0.17783701 -0.02685954  0.26730331 -0.09036465
 -0.15196701  0.13164401  0.03575169 -0.26258645  0.08130383  0.13829431
 -0.1797573   0.32966676 -0.06240959 -0.33391481 -0.23999305  0.33979196
 -0.06793743  0.06793631  0.13891358 -0.26279579  0.21691295 -0.10991516
 -0.32830839 -0.66343167  0.42054262  1.15306438 -1.5798492   0.43592038
  3.14835697 -3.65933049 -1.74052561  2.82044296 -1.3269022  -0.4789151
  1.76339432 -0.11056613 -0.53904541 -0.65847541  0.48018657 -0.21412558
 -0.89520792  1.1415715  -0.60708332  0.87789747  2.38686255  0.        ]",-0.9707614599657295,1.9217550916995036,[-0.00065323  0.00123699 -0.00030558  0.00038941  0.00010602  0.00063713],-4.823937244127711,0.008035088672057152,0.7430612994297507,-0.030971762617314408,"[-0.11817216 -0.10173499 -0.05511106 -0.02649861  0.01660045  0.0635383
  0.10342602  0.13523906  0.18131059  0.18575345  0.17980192  0.15165104
  0.03772162 -0.16174297 -0.30061646 -0.34043856 -0.27068534 -0.18842138
 -0.20261809 -0.07566332  0.5679942   1.32107388  1.76905972  0.92742298
  0.00956839]",[-0.00097013 -0.00010433 -0.00011018 -0.00093033 -0.00339548  0.00161339],"[ 1.45946119e-02 -6.44581756e-03 -2.93660611e-03  1.35788914e-02
 -1.23650973e-02 -4.02295892e-03  8.77468139e-03 -4.48860877e-03
 -2.57423743e-03  5.18431865e-03  9.94241147e-04 -2.36456814e-05
 -1.71124919e-03  4.77767619e-04 -2.94153944e-03 -3.31870577e-03
  5.08676416e-03 -1.54472157e-04  3.94663498e-03  7.01591801e-03]",0.08543521650624619,"[ 1.45946119e-02 -6.44581756e-03 -2.93660611e-03  1.35788914e-02
 -1.23650973e-02 -4.02295892e-03  8.77468139e-03 -4.48860877e-03
 -2.57423743e-03  5.18431865e-03  9.94241147e-04 -2.36456814e-05
 -1.71124919e-03  4.77767619e-04 -2.94153944e-03 -3.31870577e-03
  5.08676416e-03 -1.54472157e-04  3.94663498e-03  7.01591801e-03]"
AAL,"[ 2.10776663e-01  1.14493539e-01  1.31338052e-01 -8.23785468e-02
  1.68541826e-01  8.15394166e-02  5.44938637e-02 -2.22124710e-03
 -1.05662638e-01 -1.67427008e-01  3.79305546e-01  1.35085503e-01
  1.12075149e-01  1.78636844e-01 -4.99014741e-02 -2.14792527e-01
  2.64861121e-02  1.15919028e-02 -2.07610211e-01  1.05073893e-01
  1.91190511e-01  4.95548777e-03 -2.19050199e-03  6.19324753e-02
 -1.66271989e-03 -4.65568995e-02 -2.54455478e-01  2.79439642e-01
 -2.35672625e-02 -5.03140332e-02  3.30584410e-02 -1.18019518e-01
 -1.03946984e-01 -5.15098292e-01  2.58424498e-01  9.47093904e-01
 -8.00945382e-01 -2.05957136e-01  1.64107984e+00 -5.76579122e-01
 -1.08325596e+00  1.04425361e-01  3.94800444e-01  7.06847223e-01
 -8.60917168e-01 -3.26498770e-01  1.67778322e+00 -1.11218635e+00
 -1.02544130e+00  7.35784708e-01 -1.14351177e+00  2.44192601e+00
  1.57547471e+00  0.00000000e+00]",0.2797280456170129,0.6771176862387821,[-0.00119932  0.00336592 -0.00059807  0.00024354  0.00059174  0.00128691],-4.002133253239966,0.018276608638238382,0.7404924110064925,-0.03352213427186686,"[-0.11343361 -0.0961681  -0.05672732 -0.02130423  0.01674947  0.05388204
  0.09216785  0.13079349  0.18599082  0.19720693  0.19368722  0.15476746
  0.02870759 -0.15980948 -0.31225895 -0.34927757 -0.27707714 -0.21026603
 -0.16642702 -0.03094098  0.61416236  1.26032878  1.79773408  0.90928289
 -0.01839842]","[ 4.98679154e-04 -9.69497616e-04  5.88695693e-05 -1.73093612e-06
 -1.79843020e-03  1.79083224e-05]","[ 0.0098583  -0.00103253 -0.00189731  0.00276026 -0.00238506  0.00589909
 -0.00051397 -0.00379877 -0.00078332  0.00123315  0.00291478 -0.00104111
 -0.00124182  0.00454229 -0.00563004 -0.0032649   0.00251261 -0.00267164
  0.00804313  0.0049432 ]",0.0849064411134685,"[ 0.0098583  -0.00103253 -0.00189731  0.00276026 -0.00238506  0.00589909
 -0.00051397 -0.00379877 -0.00078332  0.00123315  0.00291478 -0.00104111
 -0.00124182  0.00454229 -0.00563004 -0.0032649   0.00251261 -0.00267164
  0.00804313  0.0049432 ]"
AAP,"[ 1.75747501e-01 -5.14736424e-02  2.90503146e-02  2.88668997e-02
  7.13054037e-03  1.23258660e-01 -2.89914202e-02 -3.71485598e-01
 -2.43760444e-01 -1.48564661e-01  1.47066095e-01  2.20534879e-02
  3.14803404e-01  2.00003479e-01 -7.03432609e-02  1.23757518e-01
  5.71357420e-02  1.52710732e-01 -1.67459824e-01  2.39440317e-02
 -3.57464866e-03  2.35202493e-01  4.63030715e-02 -2.64455963e-01
 -2.49034365e-02 -1.61351794e-03 -3.88577377e-01  5.09150374e-01
 -5.27616492e-01  2.42654525e-02  7.74081450e-02  1.20170238e-01
 -4.98566991e-01 -1.39561460e+00  1.23078977e+00  1.27785500e+00
 -2.42369738e+00  8.17989206e-01  3.53092680e+00 -1.41338621e+00
 -2.09739044e+00  1.27492929e+00  1.28238159e+00 -1.09725968e+00
 -1.29403262e+00  1.37926202e+00  6.85242371e-01 -7.94938970e-01
  1.27378737e-01 -4.48498645e-01 -1.61298751e-01  1.36380105e+00
 -8.96527676e-01  0.00000000e+00]",0.8290729222992189,0.11470681867529273,[ 0.00059687  0.00295281 -0.00128282  0.00018439 -0.00047348 -0.00097344],-4.210271040191014,0.014842344920855134,0.7397530648577908,-0.03512038696285479,"[-0.11572243 -0.09338177 -0.06111907 -0.02071817  0.01395088  0.04237948
  0.08631104  0.13248625  0.17672196  0.19307107  0.20364776  0.15758913
  0.02619557 -0.13687833 -0.31352593 -0.33567678 -0.27397742 -0.2188642
 -0.19349906  0.00290169  0.61828961  1.18013399  1.7956224   0.91612899
 -0.0290757 ]","[ 9.69871224e-04 -2.48008302e-03  2.72217500e-04  2.97145605e-06
 -1.05088612e-03 -1.11325331e-03]","[ 7.39010675e-03  1.86915184e-03 -1.24589030e-03 -1.73729931e-03
  6.51569740e-04  1.14642207e-02 -2.74183371e-03 -6.49491420e-03
  2.52840264e-03  3.59390929e-03 -2.19716726e-03 -2.19847313e-03
  3.23988746e-03  1.92694638e-03 -4.62526653e-03  3.17551042e-05
 -5.70709794e-04 -2.29357906e-04  4.91102128e-03 -2.35463037e-03]",0.08463741897569851,"[ 7.39010675e-03  1.86915184e-03 -1.24589030e-03 -1.73729931e-03
  6.51569740e-04  1.14642207e-02 -2.74183371e-03 -6.49491420e-03
  2.52840264e-03  3.59390929e-03 -2.19716726e-03 -2.19847313e-03
  3.23988746e-03  1.92694638e-03 -4.62526653e-03  3.17551042e-05
 -5.70709794e-04 -2.29357906e-04  4.91102128e-03 -2.35463037e-03]"
AAPL,"[ 0.0023827  -0.02122238 -0.02018647 -0.00738764  0.13854222 -0.0031859
  0.02021795  0.09900308  0.0870574   0.12168238  0.09546177  0.06520442
 -0.14011217 -0.05228686  0.04900222 -0.13641326 -0.05120029  0.04368557
  0.00709242 -0.03659927  0.03567756 -0.17031436 -0.11404502  0.24855502
 -0.07632803 -0.11310988  0.08888591 -0.17775053  0.32528734  0.05964678
  0.10068608 -0.03985841  0.26628359  0.52570291 -0.55100106 -0.44697103
  1.13364717 -0.62009132 -1.63798487  1.06273501  1.03974068 -1.26695162
 -0.36412013  1.24873109 -0.26198463 -0.76866445  0.71771164  0.0375461
 -0.67562685  0.07191789 -0.00926093  0.82355799  0.09485395  0.        ]",-0.39218171244097383,1.3463736911683601,[ 0.00047697 -0.00072185  0.00079207  0.00072022  0.00016464  0.0010213 ],-4.676382625162478,0.00931264034149393,0.7360939251387327,-0.03480183499308233,"[-0.11674696 -0.09422331 -0.05765855 -0.023628    0.01545409  0.0574813
  0.09949211  0.14310353  0.17457611  0.19512561  0.1801893   0.14120383
  0.03430123 -0.15391909 -0.31570578 -0.34525932 -0.25064434 -0.22466189
 -0.19162568 -0.04940509  0.59622645  1.30963733  1.77480117  0.89821257
  0.00621965]",[-0.00076928  0.00015653  0.00040752  0.00024757 -0.00166882  0.0011283 ],"[ 0.01285713 -0.00320787 -0.00561586  0.00820359 -0.00363852 -0.00361348
  0.00406819  0.00196193 -0.00457154 -0.00103467  0.00467338  0.00063773
 -0.00184533  0.00161444 -0.00164907 -0.00181105  0.00104835  0.00116671
  0.00324536  0.00056336]",0.08482659997626453,"[ 0.01285713 -0.00320787 -0.00561586  0.00820359 -0.00363852 -0.00361348
  0.00406819  0.00196193 -0.00457154 -0.00103467  0.00467338  0.00063773
 -0.00184533  0.00161444 -0.00164907 -0.00181105  0.00104835  0.00116671
  0.00324536  0.00056336]"
ABBV,"[ 4.75155513e-01  2.68822388e-01 -1.39450683e-02 -1.67966410e-01
  3.56222795e-01  1.53035012e-03  1.65340401e-02  2.32240540e-01
  1.65964627e-01 -4.64185809e-02  1.58873632e-01  2.45711487e-02
 -5.79771968e-02  1.05264153e-01 -4.48199254e-02 -3.07816583e-01
  7.70296762e-02  3.26383288e-01 -2.46437354e-01  3.64018416e-01
 -1.53306936e-01 -2.33750897e-01 -1.52291981e-01  3.94609838e-01
 -1.99965722e-01 -5.53634792e-02  9.82292394e-02 -2.10417717e-01
  2.16211534e-02 -1.53573627e-01 -3.38000461e-01 -5.63023658e-01
  3.56477553e-01  1.16511815e+00 -1.45266583e+00  1.02557629e+00
  3.19806996e+00 -3.92332353e+00 -6.99034045e-01  2.23429268e+00
 -2.41396451e+00  7.46666957e-01  1.66865675e+00 -4.18400442e-01
  2.48060293e-01 -1.02324997e+00  5.25367563e-02  2.35489092e-01
 -1.05437018e+00  3.95992060e-01 -2.96760946e-01  2.11150121e+00
  7.32963620e-01  0.00000000e+00]",-0.8960664635268243,1.8572597896867973,[ 0.00019462  0.0010385  -0.00015202  0.00071571 -0.0001006   0.00047065],-5.018979096299971,0.006611272738006193,0.7460725470294163,-0.032071079544211206,"[-0.11637011 -0.09847691 -0.05198242 -0.02300495  0.0160887   0.06083264
  0.1020808   0.13494667  0.17667286  0.19134488  0.18474153  0.15081495
  0.03219987 -0.16449435 -0.30230578 -0.32327897 -0.27851397 -0.18430959
 -0.21557085 -0.05982804  0.58245192  1.32972229  1.73784855  0.9039979
  0.00453031]",[-0.00088327 -0.00069534 -0.0003164  -0.00096438 -0.00307609  0.00139827],"[ 1.46806627e-02 -6.10170340e-03 -1.34958294e-03  1.36604414e-02
 -1.30781258e-02 -8.98976164e-04  7.03577451e-03 -7.43173785e-03
  7.82161172e-04  5.09896367e-03  6.96363582e-05  2.14595348e-03
 -2.90861239e-03 -6.40562210e-04 -2.04140140e-03 -3.86300896e-03
  3.09434142e-03  5.14497940e-04  7.31794133e-03  2.62366593e-03]",0.08559692443587211,"[ 1.46806627e-02 -6.10170340e-03 -1.34958294e-03  1.36604414e-02
 -1.30781258e-02 -8.98976164e-04  7.03577451e-03 -7.43173785e-03
  7.82161172e-04  5.09896367e-03  6.96363582e-05  2.14595348e-03
 -2.90861239e-03 -6.40562210e-04 -2.04140140e-03 -3.86300896e-03
  3.09434142e-03  5.14497940e-04  7.31794133e-03  2.62366593e-03]"
ABT,"[ 0.47003945  0.34397204 -0.04232738 -0.23282793  0.31441534 -0.0630898
  0.02802104  0.25387863  0.1593448  -0.04945742  0.19325921 -0.04412238
 -0.08722678  0.10753453 -0.02741643 -0.28990936  0.09607256  0.29592084
 -0.23830161  0.38355564 -0.13980071 -0.25908704 -0.16212661  0.36470624
 -0.16343379 -0.00647259  0.09352253 -0.22863188  0.04325775 -0.16301709
 -0.38245702 -0.67111307  0.36808715  1.23951614 -1.55420576  0.888207
  3.40340656 -4.06341272 -1.04105113  2.53287196 -2.28594823  0.54955486
  1.89147019 -0.6244525  -0.01303188 -0.68149093  0.07889752 -0.08005666
 -0.8505475   0.73090156 -0.59509667  1.85100401  1.32665548  0.        ]",-0.9444272448971696,1.9039656354033943,"[ 5.33786416e-04  6.94444542e-04  4.58935141e-05  8.27885374e-04
 -1.30252033e-04  4.97677826e-04]",-4.974570070520053,0.006911489753983986,0.7459645642938781,-0.031344215186814114,"[-0.11691189 -0.10009804 -0.05300175 -0.0245271   0.0162755   0.06141696
  0.10212445  0.13446254  0.17814039  0.18792869  0.1832044   0.15089035
  0.03397223 -0.16330894 -0.30000592 -0.32635049 -0.27744327 -0.18266933
 -0.2134576  -0.0641205   0.57994292  1.3229458   1.74541     0.91265888
  0.00490511]",[-0.00092263 -0.0006182  -0.00032411 -0.0010841  -0.00338466  0.00145199],"[ 0.01487806 -0.00641045 -0.00170518  0.01422895 -0.01349387 -0.0019167
  0.00785826 -0.00710691  0.0002416   0.0056993  -0.00046943  0.00143499
 -0.00193585 -0.00064285 -0.00282973 -0.00328657  0.00411045 -0.0002059
  0.00664936  0.00423915]",0.08556417037274971,"[ 0.01487806 -0.00641045 -0.00170518  0.01422895 -0.01349387 -0.0019167
  0.00785826 -0.00710691  0.0002416   0.0056993  -0.00046943  0.00143499
 -0.00193585 -0.00064285 -0.00282973 -0.00328657  0.00411045 -0.0002059
  0.00664936  0.00423915]"
ACN,"[ 0.36058876  0.28351998 -0.1476052  -0.28813389  0.19442954 -0.08137935
  0.03650635 -0.06458203 -0.0848245  -0.04346875  0.43576696 -0.08298784
  0.03007176  0.22518311  0.0286797  -0.11008405  0.09132022  0.24521422
 -0.26205431  0.20930791 -0.00421058 -0.1689116  -0.23910645  0.10753648
 -0.07027198  0.01132701 -0.21519236  0.13318099 -0.05413125  0.02479625
 -0.06357758 -0.4566755   0.03564254 -0.1747608  -0.46952649  0.92916441
  0.82044936 -2.22706547  0.39193391  1.88563679 -1.63169487 -0.70294626
  2.40525179 -0.24370113 -2.40818297  0.87586198  1.65126643 -1.27098415
 -0.48496494  0.54142687 -1.0185974   2.01771665  1.45582481  0.        ]",-0.08318966174720936,1.0357181017614476,"[-8.68383388e-04  3.08668022e-03 -1.36386147e-03  6.15942273e-04
 -3.14373743e-04  4.14561337e-05]",-4.522272342412308,0.010864308169916613,0.7436544335601379,-0.03191171436654554,"[-0.11918632 -0.10136981 -0.05609269 -0.02504165  0.01609235  0.05142723
  0.09297414  0.13510512  0.18871325  0.18648906  0.18969326  0.15791554
  0.03678535 -0.15125041 -0.30379969 -0.33075768 -0.28175534 -0.20227209
 -0.19470765 -0.05348805  0.56326893  1.26367785  1.77452176  0.91873682
 -0.01608243]","[ 1.72680083e-05 -9.64859166e-04  3.00182796e-04 -2.84068336e-04
 -2.81869768e-03  5.34941660e-04]","[ 0.01084537 -0.00325945 -0.00183621  0.00712306 -0.00818295  0.00217052
  0.0063723  -0.00527631 -0.00310944  0.00673653  0.00035993 -0.00521015
  0.002304    0.00407231 -0.00598551 -0.00230901  0.00286836 -0.00171019
  0.00742712  0.00465259]",0.08490771699530958,"[ 0.01084537 -0.00325945 -0.00183621  0.00712306 -0.00818295  0.00217052
  0.0063723  -0.00527631 -0.00310944  0.00673653  0.00035993 -0.00521015
  0.002304    0.00407231 -0.00598551 -0.00230901  0.00286836 -0.00171019
  0.00742712  0.00465259]"
ADBE,"[ 0.20290923  0.16849725 -0.0959271  -0.11842689  0.08103495 -0.00875334
  0.01484291 -0.241263   -0.24308505  0.00499786  0.19702564 -0.01434355
  0.03859738 -0.01845115 -0.04285583 -0.016528    0.02672377  0.24934115
 -0.18130789  0.02026962  0.04936978  0.01236893  0.00404171 -0.08064634
 -0.04828762 -0.1201614  -0.3351518   0.17559913 -0.16963273  0.09451905
  0.11964388 -0.13636585 -0.12865647 -0.481326    0.29840113  0.39066105
 -0.41139231 -0.1417376   0.77393409  0.42175315 -0.26330384 -0.55551861
  0.93180695 -0.06374497 -1.80703827  1.36899241  1.02253797 -1.27464418
  0.84415904 -0.62289437 -1.61657572  2.52805627  0.23292507  0.        ]",0.2239496582357794,0.7279899914651259,"[ 4.11037227e-04  2.26017087e-03 -6.70331805e-04  6.72642154e-04
 -2.44639756e-04  3.96316586e-05]",-4.277722657037691,0.013874222498863166,0.7403263562280478,-0.032999163184806654,"[-0.11819097 -0.09712904 -0.05913291 -0.02344807  0.01531296  0.04616555
  0.08691971  0.13756748  0.17921036  0.19079653  0.18986519  0.14480722
  0.03099711 -0.14553308 -0.31157599 -0.32772926 -0.27230962 -0.22084342
 -0.18870116 -0.02582482  0.60847443  1.22576239  1.78165328  0.89515807
 -0.02361165]","[ 9.15755603e-05 -1.33214886e-03  4.71878997e-04  2.35224381e-04
 -1.91345431e-03  4.52086919e-05]","[ 0.01004598 -0.00090101 -0.00349409  0.00382605 -0.00219234  0.00342329
  0.00230916 -0.00160905 -0.0025876   0.00255515  0.00075364 -0.003621
  0.00367477  0.00258619 -0.00556137  0.00226703 -0.00092101 -0.00367417
  0.00830766  0.00113489]",0.08454420774226051,"[ 0.01004598 -0.00090101 -0.00349409  0.00382605 -0.00219234  0.00342329
  0.00230916 -0.00160905 -0.0025876   0.00255515  0.00075364 -0.003621
  0.00367477  0.00258619 -0.00556137  0.00226703 -0.00092101 -0.00367417
  0.00830766  0.00113489]"
ADI,"[ 0.05025019  0.31856977  0.0348646  -0.09724013  0.08290248 -0.08594936
  0.04982726  0.33541766  0.1066593  -0.02187803  0.03598773  0.03035804
 -0.18184731 -0.13417502 -0.04485421 -0.27446036 -0.03085903 -0.08498428
 -0.03468927  0.13300491  0.13615824 -0.20949907  0.05139523  0.19251749
  0.03958949 -0.02036403  0.09029397 -0.26771189  0.27997942 -0.09139363
 -0.21659443 -0.35050997  0.33427577  1.01214889 -0.806763   -0.51352047
  1.83684973 -0.99447438 -2.01283339  0.93207611  0.89757867 -0.56225631
 -0.60461791  0.65222869  0.7784375  -1.02755595 -0.18936844 -0.03138285
 -0.02652457  0.72062439 -1.31137374  1.15043257  2.73858282  0.        ]",-0.610029283000565,1.5587594509895033,"[-1.02420721e-03  1.38574952e-04 -7.58097601e-04  9.57131104e-04
 -6.74561618e-04  1.42426879e-05]",-4.466151864605272,0.011491451537390148,0.7371042445739673,-0.03152604614839063,"[-0.11532139 -0.09663868 -0.05893015 -0.02506957  0.01642326  0.06451567
  0.10118169  0.13567743  0.17190724  0.19235806  0.17776213  0.13636173
  0.03060073 -0.16394359 -0.31178698 -0.35709083 -0.25372378 -0.2065222
 -0.17583041 -0.05838976  0.6282051   1.29909416  1.79761852  0.91207393
  0.00863622]","[-9.21611320e-04  4.71439325e-05 -8.04189453e-05 -5.68815232e-04
 -2.48063860e-03  1.30814487e-03]","[ 0.01422802 -0.00402433 -0.00568074  0.01016174 -0.00474632 -0.00469459
  0.0035083   0.00147129 -0.00264319 -0.00146847  0.00307222  0.00351443
 -0.00265197 -0.00110937 -0.001824    0.00023688  0.00310281 -0.00245981
  0.00390824  0.00775764]",0.08507451062033773,"[ 0.01422802 -0.00402433 -0.00568074  0.01016174 -0.00474632 -0.00469459
  0.0035083   0.00147129 -0.00264319 -0.00146847  0.00307222  0.00351443
 -0.00265197 -0.00110937 -0.001824    0.00023688  0.00310281 -0.00245981
  0.00390824  0.00775764]"
ADM,"[ 2.86021659e-01  3.20145794e-01 -6.38009661e-02 -1.93173015e-01
  1.66161935e-01 -1.15930479e-01  1.97417334e-02  2.66354598e-01
  1.54254792e-01 -8.96110155e-04  3.34992363e-02 -9.60249955e-02
 -1.47759678e-01 -1.88347262e-02 -1.72266291e-02 -1.94713999e-01
  6.70502711e-02  1.77720739e-01 -1.12416111e-01  2.83818803e-01
 -1.19960315e-01 -2.25350337e-01 -7.98853176e-02  2.57772197e-01
 -8.71331422e-02  2.74942579e-02  1.56754883e-01 -3.13679442e-01
  9.42390724e-02 -1.40286451e-01 -3.61892995e-01 -5.72485540e-01
  3.62344229e-01  1.29358138e+00 -1.42600004e+00  2.05135614e-01
  3.17836422e+00 -3.08743356e+00 -1.77213387e+00  2.20375465e+00
 -1.08548261e+00  2.89691231e-01  1.12355389e+00 -6.80530513e-01
  4.23893451e-01 -4.24966253e-01 -5.64609692e-01  8.87872407e-02
 -1.09334151e-01  5.87163473e-01 -6.12601513e-01  7.44526812e-01
  1.32533333e+00  0.00000000e+00]",-1.0117240202150033,1.9692990579099074,"[ 5.25690001e-04  1.84895002e-03 -2.07988412e-04  1.05489859e-03
 -8.04516741e-05  7.48301434e-04]",-4.7334083091711205,0.008796438906004324,0.7420805762917823,-0.031546541164321824,"[-0.11739227 -0.09906219 -0.05683393 -0.0259471   0.01563704  0.06203984
  0.10239552  0.13653183  0.17169854  0.18612284  0.17959404  0.14367437
  0.03388652 -0.15743179 -0.30250415 -0.33554022 -0.2628693  -0.19228417
 -0.21119951 -0.05856525  0.59724381  1.30372117  1.76364128  0.91886093
  0.01090879]",[-0.00114501 -0.00046241 -0.00023141 -0.0010153  -0.00310479  0.00143345],"[ 0.01503332 -0.00593567 -0.00362271  0.01369509 -0.0107168  -0.00401352
  0.00695651 -0.00387388 -0.00041884  0.00347979 -0.00055921  0.00261869
 -0.00108656 -0.00241059 -0.00189488 -0.00066302  0.00359245 -0.00021209
  0.00319238  0.00390332]",0.08540824660885053,"[ 0.01503332 -0.00593567 -0.00362271  0.01369509 -0.0107168  -0.00401352
  0.00695651 -0.00387388 -0.00041884  0.00347979 -0.00055921  0.00261869
 -0.00108656 -0.00241059 -0.00189488 -0.00066302  0.00359245 -0.00021209
  0.00319238  0.00390332]"
ADP,"[ 1.96934801e-01  1.70919291e-01 -1.04166200e-01 -5.08482643e-02
  1.60063026e-01  2.87295256e-02 -3.56617674e-04 -1.28223544e-01
 -1.28732164e-01  3.95017359e-02  1.18963618e-01  6.53326415e-02
  1.88185386e-03 -5.84240807e-02 -6.02509730e-02 -1.06064059e-01
 -2.12215150e-02  2.55191805e-01 -1.71184578e-01  4.48562685e-02
  3.27270065e-02 -7.65835947e-02 -3.08024912e-02  5.29902421e-02
 -9.76934409e-02 -1.70950492e-01 -2.25858994e-01  4.71943877e-02
 -8.23388180e-02  9.43639697e-02  6.92201654e-02 -1.22109248e-01
  2.38918181e-02 -1.22021112e-01  3.51582242e-02  2.58115689e-01
  2.02965901e-01 -5.47351215e-01  1.14625138e-01  7.94098252e-01
 -5.21076054e-02 -6.69239784e-01  6.38723373e-01  3.19211069e-01
 -1.17320445e+00  4.48520435e-01  6.50328043e-01 -4.47999437e-01
  4.55402826e-01 -8.25249972e-01 -1.13668334e+00  2.77414466e+00
  2.70557560e-01  0.00000000e+00]",0.016396250436435895,0.9422892602755353,"[-9.11835770e-05  3.79763882e-03 -1.37737115e-03  4.64879231e-04
 -2.64158286e-04 -2.36497249e-04]",-4.352288666962984,0.012877306962075721,0.7402002565061536,-0.03297485648158504,"[-0.11836335 -0.09550428 -0.05717588 -0.02236041  0.01515665  0.04976788
  0.09109658  0.13899753  0.17590467  0.19450065  0.18792756  0.14214813
  0.02974252 -0.15142945 -0.31455318 -0.32710045 -0.27007315 -0.21771885
 -0.19173892 -0.03750676  0.60502802  1.25849952  1.76826504  0.88582291
 -0.01616795]",[-0.00023189 -0.00104859  0.00043297  0.00012946 -0.00187101  0.00046621],"[ 0.01108506 -0.00165226 -0.00378695  0.00554595 -0.00336198  0.00150849
  0.0033297  -0.00102146 -0.00292498  0.00178873  0.00185864 -0.00185905
  0.00126025  0.00147518 -0.00322811  0.00117302 -0.00135241 -0.0022461
  0.00889724  0.00123693]",0.08466844049843815,"[ 0.01108506 -0.00165226 -0.00378695  0.00554595 -0.00336198  0.00150849
  0.0033297  -0.00102146 -0.00292498  0.00178873  0.00185864 -0.00185905
  0.00126025  0.00147518 -0.00322811  0.00117302 -0.00135241 -0.0022461
  0.00889724  0.00123693]"
ADSK,"[ 6.65221441e-01  5.86792944e-01 -2.48122706e-01 -2.12420637e-01
  4.32249470e-01  1.37419451e-02 -2.01134724e-02  3.93082587e-02
 -2.46575403e-02 -3.98269924e-02  1.23337905e-01  6.20846060e-02
  1.06783207e-02  2.76271768e-03 -1.73551453e-01 -3.36327060e-01
  4.48172192e-02  6.06220589e-01 -4.51091201e-01  4.44280811e-01
 -1.52962197e-01 -2.87073559e-01 -1.43417393e-01  2.66986770e-01
 -2.50961297e-01 -1.95620803e-01 -2.01406207e-01 -1.19402534e-01
 -3.12367144e-01 -1.99050938e-02 -3.53065504e-01 -6.70987236e-01
  2.67733930e-01  6.64239956e-01 -1.01044834e+00  1.38643315e+00
  2.73216602e+00 -4.14162519e+00  2.14123653e-02  2.93625007e+00
 -2.67652434e+00  3.63419933e-01  2.72318553e+00 -8.74666585e-01
 -9.78107324e-01 -5.97600579e-02 -2.04418489e-01  3.61649206e-01
  4.66516784e-01 -1.24396274e+00 -1.57924880e+00  4.83524086e+00
  1.40986853e+00  0.00000000e+00]",-0.5652900904504743,1.5092751776242839,[-0.00170446  0.00116511 -0.00043268  0.00038196  0.00018961  0.00098118],-4.908280040368669,0.007385179624807938,0.7500841906570317,-0.02902767391119733,"[-0.12106134 -0.09990976 -0.05020664 -0.02171432  0.01555544  0.05400261
  0.09473053  0.13396037  0.1759151   0.19227208  0.18887841  0.14620616
  0.02775749 -0.16543062 -0.30468649 -0.29920125 -0.29847024 -0.1781909
 -0.21693045 -0.06744422  0.57811033  1.29630648  1.72047447  0.87658938
 -0.01616106]","[-7.08474038e-04 -1.62946845e-03 -4.44791635e-05 -9.94862040e-04
 -3.39579349e-03  1.21392043e-03]","[ 0.01338199 -0.00498538 -0.0004175   0.01231317 -0.01364167  0.00118466
  0.00907668 -0.00815697 -0.0002962   0.00797468 -0.00146057 -0.00119767
 -0.00022817 -0.00142341 -0.00165951  0.00024647 -0.00122284 -0.00314704
  0.01515653  0.00472013]",0.08533699652061934,"[ 0.01338199 -0.00498538 -0.0004175   0.01231317 -0.01364167  0.00118466
  0.00907668 -0.00815697 -0.0002962   0.00797468 -0.00146057 -0.00119767
 -0.00022817 -0.00142341 -0.00165951  0.00024647 -0.00122284 -0.00314704
  0.01515653  0.00472013]"
